iter	TotalF1	MultiClass
0	0.2634293978	1.894281533
1	0.2397722673	1.853739465
2	0.2690412392	1.813063312
3	0.2685479596	1.783690623
4	0.266156402	1.756279143
5	0.296097923	1.733993433
6	0.3010930511	1.713590568
7	0.3073805251	1.694396827
8	0.3115633534	1.6800829
9	0.3099588977	1.66766177
10	0.316346618	1.654111421
11	0.3212427731	1.643429432
12	0.3232682656	1.634049802
13	0.3314771264	1.624028869
14	0.3310720419	1.616430473
15	0.3306940554	1.608024007
16	0.3330517582	1.600314862
17	0.3396116416	1.59432483
18	0.3393961625	1.589922609
19	0.3400874804	1.584027221
20	0.3399891824	1.579246961
21	0.3424983399	1.575146613
22	0.3438051006	1.571111134
23	0.346654591	1.567750963
24	0.3470394599	1.564016154
25	0.3478656072	1.561431386
26	0.3507184514	1.557542728
27	0.350409031	1.55538653
28	0.3560214201	1.552948613
29	0.3560048786	1.549979236
30	0.3636879559	1.54647902
31	0.3672887168	1.543341687
32	0.3709333655	1.541363791
33	0.3740537942	1.538897966
34	0.3755800304	1.536884929
35	0.3777856054	1.533781647
36	0.3786615768	1.53203386
37	0.3838331363	1.528547364
38	0.3862828817	1.526157544
39	0.3902833499	1.522792813
40	0.3917188717	1.521185162
41	0.3909970058	1.519877215
42	0.3916725248	1.518292918
43	0.3962447287	1.515227598
44	0.3987997301	1.512519048
45	0.3996323884	1.510550173
46	0.4003682054	1.509264389
47	0.4016219635	1.507329276
48	0.4054692454	1.504160529
49	0.4041504852	1.502753617
50	0.4051770794	1.501898663
51	0.4051118485	1.500806271
52	0.405819857	1.500226918
53	0.4076106491	1.49898557
54	0.4082225916	1.497450977
55	0.4118658781	1.495999374
56	0.4142147296	1.494438507
57	0.4131188644	1.49301085
58	0.4174870401	1.490795856
59	0.4196807715	1.488932905
60	0.4218429346	1.487591506
61	0.4230493493	1.486336942
62	0.423714404	1.484806036
63	0.4232243485	1.483786875
64	0.4242602404	1.482971345
65	0.4240668171	1.482399577
66	0.4249791444	1.480937271
67	0.4262518889	1.479837449
68	0.4284456799	1.478532596
69	0.4322766848	1.477195997
70	0.4330863671	1.475975798
71	0.4343561294	1.474635048
72	0.4352243889	1.47405994
73	0.4358092666	1.472744049
74	0.4384927179	1.470330291
75	0.4381534698	1.46964915
76	0.4393388951	1.469319994
77	0.4425224425	1.467330967
78	0.4426062849	1.466381355
79	0.4458933965	1.464997629
80	0.4457487933	1.464617155
81	0.4462823262	1.463373902
82	0.4471905076	1.462077961
83	0.4501031275	1.461188852
84	0.4511440197	1.459283354
85	0.4516804574	1.458448866
86	0.4520278951	1.45768047
87	0.4519623584	1.456687623
88	0.4515454548	1.455554498
89	0.4530283581	1.454226552
90	0.4571446889	1.452357188
91	0.4580129781	1.449799518
92	0.4591532667	1.448124322
93	0.4611711058	1.446693043
94	0.4627288469	1.445106357
95	0.4641028257	1.443186147
96	0.4645600174	1.442183281
97	0.4664247714	1.441130343
98	0.468655106	1.439303636
99	0.4699494169	1.437680226
100	0.4739896202	1.435398804
101	0.4739534108	1.433917422
102	0.4770843802	1.432132485
103	0.4783162764	1.430831055
104	0.4784826543	1.428772399
105	0.480383966	1.427022401
106	0.4830719182	1.424753651
107	0.4865674194	1.422116211
108	0.4880196692	1.420740011
109	0.4889768095	1.419333672
110	0.4940749069	1.415597388
111	0.4958845806	1.413810735
112	0.4980814635	1.412599412
113	0.4981216159	1.411498178
114	0.4988194748	1.410403492
115	0.5003993303	1.409483238
116	0.5017218733	1.407964463
117	0.5028391995	1.406667754
118	0.5030505653	1.405245133
119	0.5056178242	1.403332392
120	0.505540432	1.402381035
121	0.5069156579	1.401361283
122	0.5074877241	1.398928341
123	0.5084792496	1.396820723
124	0.5114781416	1.394582829
125	0.5126244003	1.393120924
126	0.5132236114	1.392110347
127	0.5152465193	1.389846735
128	0.5160656432	1.388657179
129	0.5197936507	1.386325575
130	0.520784907	1.385341516
131	0.5219160186	1.383276015
132	0.5233303991	1.381886798
133	0.5246099289	1.37984187
134	0.5254269227	1.378316133
135	0.5284342159	1.375641549
136	0.5301533351	1.374699211
137	0.5316372242	1.37307856
138	0.5313446374	1.372097106
139	0.5345571293	1.369336607
140	0.5360267163	1.367961297
141	0.5373714622	1.366634767
142	0.5384001434	1.363951139
143	0.5391044545	1.362870713
144	0.5429407195	1.360516186
145	0.5438729841	1.359606369
146	0.5445966677	1.358484955
147	0.5451577932	1.357665529
148	0.5446829234	1.355785682
149	0.5483295385	1.354029935
150	0.548022859	1.351990388
151	0.5504082855	1.350148882
152	0.5491306724	1.349313688
153	0.5518259078	1.347062375
154	0.5538495048	1.345027329
155	0.5548404834	1.344181326
156	0.5544372566	1.343578392
157	0.556083788	1.341779329
158	0.5565877943	1.340745616
159	0.5581348099	1.339818512
160	0.5593833696	1.338936617
161	0.5586366342	1.33804311
162	0.5609879871	1.33577423
163	0.5631528789	1.333350928
164	0.5627428504	1.330935479
165	0.5644665683	1.329385448
166	0.5671726596	1.326911254
167	0.5691791903	1.324823375
168	0.5708920403	1.323027743
169	0.5726991749	1.321302131
170	0.5729021913	1.319716495
171	0.5746908626	1.317940593
172	0.5760611136	1.316778654
173	0.5774598713	1.314367931
174	0.5793158381	1.311978257
175	0.5806135502	1.311033692
176	0.5842294359	1.308714342
177	0.5851120958	1.307328506
178	0.585442227	1.306529197
179	0.5857093462	1.305538936
180	0.5869781131	1.303073917
181	0.5883994497	1.301256261
182	0.5903585157	1.300165812
183	0.5902087764	1.299417678
184	0.5912206319	1.298661865
185	0.5918480879	1.297370331
186	0.5923438643	1.296603444
187	0.5922204286	1.294363438
188	0.5951856149	1.292735824
189	0.596624228	1.292012828
190	0.5974869033	1.290984488
191	0.6000442277	1.288644948
192	0.6003744994	1.287959661
193	0.600990486	1.286697375
194	0.6020006315	1.285325798
195	0.602320612	1.284688699
196	0.6036729808	1.283204687
197	0.6046996834	1.28113927
198	0.6053798771	1.279461894
199	0.6069191741	1.278147954
200	0.6073845245	1.277301507
201	0.6090865213	1.275255696
202	0.6100161706	1.273857125
203	0.6119522271	1.271814965
204	0.6127048531	1.270767263
205	0.6137496578	1.268196039
206	0.6151606157	1.266793788
207	0.6155355761	1.266091761
208	0.616251866	1.264376557
209	0.6183852952	1.262026683
210	0.6210688207	1.260487112
211	0.6227931315	1.258749786
212	0.6230114166	1.25796269
213	0.6227843395	1.257292595
