iter	Passed	Remaining
0	39	39723
1	77	38890
2	115	38547
3	154	38471
4	193	38522
5	233	38738
6	275	39032
7	313	38904
8	353	38894
9	391	38739
10	429	38620
11	466	38406
12	505	38403
13	544	38352
14	582	38249
15	624	38397
16	664	38400
17	705	38463
18	729	37666
19	769	37704
20	809	37726
21	848	37737
22	888	37735
23	928	37755
24	967	37715
25	976	36585
26	1014	36558
27	1037	36018
28	1076	36049
29	1116	36108
30	1156	36144
31	1196	36190
32	1235	36205
33	1273	36189
34	1312	36191
35	1353	36243
36	1395	36307
37	1439	36432
38	1478	36442
39	1521	36508
40	1561	36530
41	1603	36577
42	1644	36603
43	1686	36636
44	1728	36684
45	1770	36717
46	1812	36743
47	1854	36785
48	1896	36807
49	1936	36794
50	1978	36821
51	2018	36798
52	2059	36792
53	2071	36286
54	2110	36266
55	2151	36276
56	2192	36268
57	2232	36253
58	2271	36233
59	2309	36188
60	2347	36137
61	2385	36093
62	2424	36061
63	2464	36049
64	2502	36002
65	2540	35950
66	2579	35925
67	2620	35918
68	2659	35885
69	2697	35837
70	2734	35785
71	2773	35753
72	2813	35726
73	2852	35692
74	2890	35644
75	2928	35605
76	2970	35607
77	3009	35569
78	3045	35508
79	3085	35480
80	3125	35457
81	3164	35423
82	3179	35127
83	3217	35089
84	3256	35057
85	3295	35028
86	3337	35025
87	3378	35009
88	3418	34986
89	3457	34955
90	3494	34910
91	3534	34887
92	3574	34862
93	3614	34833
94	3654	34809
95	3692	34774
96	3731	34733
97	3769	34696
98	3807	34653
99	3846	34621
100	3884	34579
101	3923	34543
102	3962	34505
103	4000	34462
104	4040	34444
105	4080	34414
106	4118	34373
107	4156	34330
108	4196	34301
109	4235	34271
110	4275	34246
111	4315	34216
112	4353	34171
113	4391	34128
114	4429	34089
115	4469	34059
116	4507	34017
117	4548	34001
118	4588	33973
119	4629	33947
120	4669	33918
121	4709	33892
122	4749	33862
123	4790	33839
124	4830	33816
125	4872	33797
126	4912	33770
127	4952	33740
128	4995	33729
129	5036	33704
130	5075	33667
131	5124	33694
132	5167	33685
133	5207	33654
134	5246	33619
135	5287	33589
136	5327	33560
137	5366	33522
138	5406	33491
139	5447	33463
140	5487	33433
141	5527	33398
142	5567	33367
143	5608	33336
144	5646	33294
145	5687	33270
146	5730	33253
147	5770	33220
148	5808	33176
149	5846	33132
150	5885	33093
151	5925	33058
152	5964	33020
153	6006	32996
154	6048	32974
155	6088	32938
156	6127	32903
157	6167	32867
158	6206	32830
159	6247	32797
160	6285	32755
161	6325	32720
162	6365	32686
163	6405	32652
164	6445	32616
165	6484	32581
166	6523	32539
167	6562	32500
168	6601	32460
169	6641	32425
170	6680	32387
171	6718	32340
172	6757	32301
173	6796	32262
174	6835	32223
175	6873	32181
176	6912	32140
177	6951	32101
178	6989	32059
179	7029	32023
180	7068	31985
181	7106	31941
182	7145	31901
183	7185	31865
184	7225	31829
185	7271	31823
186	7314	31801
187	7363	31802
188	7407	31787
189	7457	31793
190	7516	31837
191	7561	31822
192	7608	31814
193	7653	31798
194	7698	31782
195	7744	31768
196	7789	31750
197	7831	31723
198	7874	31694
199	7913	31654
200	7954	31618
201	7994	31581
202	8035	31546
203	8074	31505
204	8114	31467
205	8154	31431
206	8194	31392
207	8234	31356
208	8275	31320
209	8319	31295
210	8362	31268
211	8407	31248
212	8450	31222
213	8494	31199
214	8536	31168
215	8579	31140
216	8621	31109
217	8666	31088
218	8711	31066
219	8757	31047
220	8798	31013
221	8839	30976
222	8880	30941
223	8922	30909
224	8961	30867
225	9001	30827
226	9041	30788
227	9081	30749
228	9121	30708
229	9162	30672
230	9202	30633
231	9242	30595
232	9282	30557
233	9323	30519
234	9363	30480
235	9402	30437
236	9442	30398
237	9482	30358
238	9531	30349
239	9581	30340
240	9631	30332
241	9679	30316
242	9725	30296
243	9771	30274
244	9813	30240
245	9853	30200
246	9894	30164
247	9936	30129
248	9978	30094
249	10022	30067
250	10070	30051
251	10121	30043
252	10168	30023
253	10211	29991
254	10251	29951
255	10291	29910
256	10334	29877
257	10374	29836
258	10416	29800
259	10456	29761
260	10496	29720
261	10542	29696
262	10584	29660
263	10626	29624
264	10668	29591
265	10708	29549
266	10748	29507
267	10787	29464
268	10826	29421
269	10867	29381
270	10907	29342
271	10947	29300
272	10987	29258
273	11027	29217
274	11066	29175
275	11106	29135
276	11149	29100
277	11188	29058
278	11228	29017
279	11268	28974
280	11307	28933
281	11348	28893
282	11389	28855
283	11432	28823
284	11474	28786
285	11517	28753
286	11557	28712
287	11598	28672
288	11637	28630
289	11677	28589
290	11716	28546
291	11756	28504
292	11796	28465
293	11836	28424
294	11877	28384
295	11918	28347
296	11959	28307
297	11998	28265
298	12037	28222
299	12075	28177
300	12114	28134
301	12153	28090
302	12192	28046
303	12230	28000
304	12267	27954
305	12308	27914
306	12348	27874
307	12388	27833
308	12427	27790
309	12465	27746
310	12506	27706
311	12544	27661
312	12582	27617
313	12630	27593
314	12673	27559
315	12713	27519
316	12752	27475
317	12795	27442
318	12838	27406
319	12875	27361
320	12914	27316
321	12953	27275
322	12993	27235
323	13033	27194
324	13073	27151
325	13112	27109
326	13150	27065
327	13190	27024
328	13227	26977
329	13266	26934
330	13310	26902
331	13349	26860
332	13388	26817
333	13426	26772
334	13465	26730
335	13505	26688
336	13543	26645
337	13581	26600
338	13620	26558
339	13662	26520
340	13700	26476
341	13740	26435
342	13778	26391
343	13816	26347
344	13855	26304
345	13893	26260
346	13930	26215
347	13969	26172
348	14009	26132
349	14049	26092
350	14088	26050
351	14126	26005
352	14169	25971
353	14208	25929
354	14247	25886
355	14288	25847
356	14329	25808
357	14369	25769
358	14408	25726
359	14448	25687
360	14487	25644
361	14526	25601
362	14567	25562
363	14605	25520
364	14644	25477
365	14683	25434
366	14721	25392
367	14761	25350
368	14799	25307
369	14837	25264
370	14877	25223
371	14915	25180
372	14953	25136
373	14993	25096
374	15033	25056
375	15073	25015
376	15112	24973
377	15153	24934
378	15193	24894
379	15233	24854
380	15273	24815
381	15312	24772
382	15352	24732
383	15390	24689
384	15429	24646
385	15470	24608
386	15514	24574
387	15553	24533
388	15594	24493
389	15634	24453
390	15674	24413
391	15712	24370
392	15751	24329
393	15789	24285
394	15827	24242
395	15867	24202
396	15906	24159
397	15945	24119
398	15984	24077
399	16025	24037
400	16063	23995
401	16102	23953
402	16143	23914
403	16182	23873
404	16220	23830
405	16258	23787
406	16296	23744
407	16335	23702
408	16374	23661
409	16412	23618
410	16451	23576
411	16491	23536
412	16532	23497
413	16570	23455
414	16608	23411
415	16647	23370
416	16687	23330
417	16726	23289
418	16765	23247
419	16804	23206
420	16842	23163
421	16883	23124
422	16922	23084
423	16963	23044
424	17005	23007
425	17046	22968
426	17088	22931
427	17128	22891
428	17168	22851
429	17208	22811
430	17249	22772
431	17288	22731
432	17330	22693
433	17370	22653
434	17419	22625
435	17462	22589
436	17506	22553
437	17549	22518
438	17595	22485
439	17640	22450
440	17687	22420
441	17733	22387
442	17778	22353
443	17821	22316
444	17865	22282
445	17910	22247
446	17956	22214
447	18001	22180
448	18046	22146
449	18095	22116
450	18138	22080
451	18183	22045
452	18229	22012
453	18273	21976
454	18320	21944
455	18363	21907
456	18406	21870
457	18451	21835
458	18498	21803
459	18543	21768
460	18588	21733
461	18636	21702
462	18682	21668
463	18731	21637
464	18775	21602
465	18820	21566
466	18866	21532
467	18909	21495
468	18954	21460
469	18997	21422
470	19044	21389
471	19089	21354
472	19133	21318
473	19176	21280
474	19218	21241
475	19261	21203
476	19303	21165
477	19343	21123
478	19382	21082
479	19422	21041
480	19463	21000
481	19502	20959
482	19548	20924
483	19588	20883
484	19627	20841
485	19667	20800
486	19707	20759
487	19747	20718
488	19787	20677
489	19826	20635
490	19866	20595
491	19906	20553
492	19945	20512
493	19986	20471
494	20027	20431
495	20066	20389
496	20103	20346
497	20142	20304
498	20180	20261
499	20219	20219
500	20257	20176
501	20296	20134
502	20335	20092
503	20374	20050
504	20411	20007
505	20450	19965
506	20490	19924
507	20530	19883
508	20569	19842
509	20609	19801
510	20649	19760
511	20690	19720
512	20728	19677
513	20767	19636
514	20806	19594
515	20845	19552
516	20882	19509
517	20923	19469
518	20963	19428
519	21002	19386
520	21043	19347
521	21084	19307
522	21125	19267
523	21165	19226
524	21205	19186
525	21244	19144
526	21283	19102
527	21322	19061
528	21360	19018
529	21397	18975
530	21437	18934
531	21477	18894
532	21518	18853
533	21556	18811
534	21596	18771
535	21634	18728
536	21674	18687
537	21713	18645
538	21755	18606
539	21794	18565
540	21833	18524
541	21872	18482
542	21911	18441
543	21950	18400
544	21989	18358
545	22028	18316
546	22067	18275
547	22108	18235
548	22148	18194
549	22187	18153
550	22224	18110
551	22265	18070
552	22305	18030
553	22345	17989
554	22385	17948
555	22426	17909
556	22466	17868
557	22505	17827
558	22543	17784
559	22581	17742
560	22620	17701
561	22660	17660
562	22699	17619
563	22736	17576
564	22775	17535
565	22813	17493
566	22852	17451
567	22892	17411
568	22932	17370
569	22973	17330
570	23012	17289
571	23049	17247
572	23088	17205
573	23127	17164
574	23166	17122
575	23204	17080
576	23242	17039
577	23282	16998
578	23319	16956
579	23357	16914
580	23395	16872
581	23434	16831
582	23475	16791
583	23513	16749
584	23552	16708
585	23590	16666
586	23632	16627
587	23672	16586
588	23711	16545
589	23752	16505
590	23791	16464
591	23831	16424
592	23869	16382
593	23907	16341
594	23947	16300
595	23988	16260
596	24029	16220
597	24068	16180
598	24107	16138
599	24146	16097
600	24186	16057
601	24226	16016
602	24266	15976
603	24303	15933
604	24341	15892
605	24379	15850
606	24418	15809
607	24458	15769
608	24498	15729
609	24536	15687
610	24575	15646
611	24613	15604
612	24655	15565
613	24693	15524
614	24731	15482
615	24768	15440
616	24806	15398
617	24845	15357
618	24883	15316
619	24923	15275
620	24964	15235
621	25004	15195
622	25045	15155
623	25084	15115
624	25125	15075
625	25165	15034
626	25203	14993
627	25242	14952
628	25280	14911
629	25319	14870
630	25359	14830
631	25398	14788
632	25437	14748
633	25476	14707
634	25516	14667
635	25559	14628
636	25600	14588
637	25640	14548
638	25681	14508
639	25721	14468
640	25760	14427
641	25801	14387
642	25840	14347
643	25880	14306
644	25920	14266
645	25958	14224
646	25996	14183
647	26037	14144
648	26076	14102
649	26116	14062
650	26155	14022
651	26196	13981
652	26236	13941
653	26274	13900
654	26315	13860
655	26354	13820
656	26394	13779
657	26435	13739
658	26475	13699
659	26515	13659
660	26552	13617
661	26590	13576
662	26630	13535
663	26670	13495
664	26710	13455
665	26747	13413
666	26786	13373
667	26825	13332
668	26864	13291
669	26901	13250
670	26940	13209
671	26981	13169
672	27019	13128
673	27058	13087
674	27099	13047
675	27137	13006
676	27175	12965
677	27215	12925
678	27254	12884
679	27294	12844
680	27331	12802
681	27375	12764
682	27415	12724
683	27455	12684
684	27495	12643
685	27536	12604
686	27575	12563
687	27615	12523
688	27653	12482
689	27695	12442
690	27735	12402
691	27776	12362
692	27815	12322
693	27854	12281
694	27893	12241
695	27933	12200
696	27972	12160
697	28011	12119
698	28049	12078
699	28089	12038
700	28127	11997
701	28166	11956
702	28205	11916
703	28244	11875
704	28282	11834
705	28320	11793
706	28360	11753
707	28398	11712
708	28437	11671
709	28475	11630
710	28514	11590
711	28553	11549
712	28594	11510
713	28634	11469
714	28673	11429
715	28712	11388
716	28751	11348
717	28791	11307
718	28829	11267
719	28868	11226
720	28908	11186
721	28949	11146
722	28990	11107
723	29031	11067
724	29072	11027
725	29112	10987
726	29152	10947
727	29191	10906
728	29231	10866
729	29271	10826
730	29311	10786
731	29352	10746
732	29392	10706
733	29431	10666
734	29472	10626
735	29512	10585
736	29549	10544
737	29587	10504
738	29626	10463
739	29664	10422
740	29704	10382
741	29742	10341
742	29782	10301
743	29820	10260
744	29858	10220
745	29897	10179
746	29936	10139
747	29974	10098
748	30014	10058
749	30053	10017
750	30093	9977
751	30132	9937
752	30172	9897
753	30211	9856
754	30249	9816
755	30287	9775
756	30324	9734
757	30365	9694
758	30407	9655
759	30448	9615
760	30490	9575
761	30529	9535
762	30568	9495
763	30608	9454
764	30647	9414
765	30686	9374
766	30725	9333
767	30763	9293
768	30802	9252
769	30840	9212
770	30880	9172
771	30921	9132
772	30960	9091
773	31000	9051
774	31040	9011
775	31081	8971
776	31121	8931
777	31160	8891
778	31200	8851
779	31239	8811
780	31277	8770
781	31317	8730
782	31357	8690
783	31395	8649
784	31434	8609
785	31472	8568
786	31513	8528
787	31553	8488
788	31591	8448
789	31630	8408
790	31669	8367
791	31708	8327
792	31750	8287
793	31789	8247
794	31829	8207
795	31871	8168
796	31910	8127
797	31951	8087
798	31991	8047
799	32031	8007
800	32070	7967
801	32109	7927
802	32149	7887
803	32188	7846
804	32227	7806
805	32266	7766
806	32306	7726
807	32345	7685
808	32384	7645
809	32423	7605
810	32462	7565
811	32500	7524
812	32539	7484
813	32579	7444
814	32618	7404
815	32656	7363
816	32694	7323
817	32733	7283
818	32775	7243
819	32814	7203
820	32853	7162
821	32892	7122
822	32931	7082
823	32974	7043
824	33015	7003
825	33055	6963
826	33094	6923
827	33134	6882
828	33174	6842
829	33212	6802
830	33252	6762
831	33292	6722
832	33331	6682
833	33346	6637
834	33390	6598
835	33435	6559
836	33478	6519
837	33521	6480
838	33564	6440
839	33606	6401
840	33646	6361
841	33687	6321
842	33728	6281
843	33768	6241
844	33808	6201
845	33848	6161
846	33888	6121
847	33929	6081
848	33969	6041
849	34009	6001
850	34049	5961
851	34089	5921
852	34130	5881
853	34170	5841
854	34209	5801
855	34247	5761
856	34285	5720
857	34324	5680
858	34364	5640
859	34404	5600
860	34445	5560
861	34484	5520
862	34525	5480
863	34566	5440
864	34605	5400
865	34644	5360
866	34682	5320
867	34721	5280
868	34762	5240
869	34800	5200
870	34840	5160
871	34880	5120
872	34920	5080
873	34961	5040
874	35001	5000
875	35042	4960
876	35080	4920
877	35118	4879
878	35158	4839
879	35196	4799
880	35235	4759
881	35274	4719
882	35313	4679
883	35353	4639
884	35394	4599
885	35433	4559
886	35473	4519
887	35512	4479
888	35551	4438
889	35591	4398
890	35631	4358
891	35671	4318
892	35710	4278
893	35748	4238
894	35790	4198
895	35831	4158
896	35870	4118
897	35910	4078
898	35950	4038
899	35989	3998
900	36028	3958
901	36069	3918
902	36109	3878
903	36151	3839
904	36190	3799
905	36228	3758
906	36267	3718
907	36306	3678
908	36345	3638
909	36384	3598
910	36423	3558
911	36462	3518
912	36501	3478
913	36541	3438
914	36580	3398
915	36618	3358
916	36657	3317
917	36698	3278
918	36738	3238
919	36775	3197
920	36814	3157
921	36854	3117
922	36893	3077
923	36932	3037
924	36971	2997
925	37012	2957
926	37051	2917
927	37090	2877
928	37128	2837
929	37172	2797
930	37212	2757
931	37252	2718
932	37292	2678
933	37333	2638
934	37372	2598
935	37413	2558
936	37452	2518
937	37491	2478
938	37529	2438
939	37568	2398
940	37614	2358
941	37653	2318
942	37694	2278
943	37733	2238
944	37772	2198
945	37812	2158
946	37852	2118
947	37891	2078
948	37931	2038
949	37970	1998
950	38009	1958
951	38047	1918
952	38085	1878
953	38125	1838
954	38164	1798
955	38204	1758
956	38242	1718
957	38281	1678
958	38323	1638
959	38365	1598
960	38405	1558
961	38442	1518
962	38480	1478
963	38521	1438
964	38562	1398
965	38601	1358
966	38641	1318
967	38681	1278
968	38721	1238
969	38761	1198
970	38800	1158
971	38839	1118
972	38878	1078
973	38917	1038
974	38957	998
975	38997	958
976	39037	919
977	39078	879
978	39120	839
979	39159	799
980	39198	759
981	39237	719
982	39276	679
983	39316	639
984	39357	599
985	39397	559
986	39438	519
987	39477	479
988	39515	439
989	39555	399
990	39597	359
991	39638	319
