iter	TotalF1	MultiClass
0	0.2699649733	1.894359652
1	0.2442039735	1.853101221
2	0.2636138069	1.814207045
3	0.2694423351	1.784594265
4	0.2739246423	1.756147602
5	0.2923477677	1.734135223
6	0.2897735727	1.71358044
7	0.3000294764	1.694742619
8	0.3027855876	1.680275903
9	0.3051609067	1.66733349
10	0.311100727	1.653967537
11	0.3133648218	1.642958345
12	0.3156473953	1.633425793
13	0.322153005	1.623122914
14	0.3264202031	1.615377567
15	0.3265848884	1.607056731
16	0.3336982629	1.599065589
17	0.3361132387	1.593169173
18	0.3345753688	1.588736596
19	0.3369176894	1.583242823
20	0.3362370495	1.578330304
21	0.3378817745	1.574231667
22	0.3381093903	1.570344222
23	0.3432389971	1.56693778
24	0.3452781725	1.563566881
25	0.3447826008	1.561080867
26	0.3481620953	1.557122263
27	0.3504921188	1.55491684
28	0.357984756	1.550568991
29	0.3608060415	1.547759036
30	0.3661031879	1.544536163
31	0.368042967	1.542293281
32	0.3744462621	1.540127585
33	0.3745338368	1.537810482
34	0.3783605345	1.535117115
35	0.3826466216	1.531965474
36	0.3830019852	1.529936434
37	0.3836167821	1.52699369
38	0.3887113486	1.524096737
39	0.3952164562	1.5207484
40	0.396510335	1.519040306
41	0.398362494	1.517504054
42	0.400129799	1.516307655
43	0.4034499079	1.513664451
44	0.4068777893	1.511085216
45	0.4099187846	1.508781087
46	0.410691872	1.507595832
47	0.4134095536	1.505918837
48	0.4139115439	1.504808208
49	0.4138855868	1.503475381
50	0.4151072501	1.502735413
51	0.4162213908	1.501443702
52	0.4164408434	1.500046474
53	0.4160680607	1.499075265
54	0.4187335847	1.49763956
55	0.4181847244	1.496279098
56	0.4196689509	1.494611179
57	0.419603572	1.493549836
58	0.4232457625	1.492197204
59	0.425169989	1.490105828
60	0.4234994568	1.488665196
61	0.4269076621	1.486778942
62	0.428753387	1.485274554
63	0.4318542685	1.483918134
64	0.4315850098	1.483145295
65	0.4316024879	1.482581651
66	0.4347493047	1.481051475
67	0.4364387571	1.479930384
68	0.4384292029	1.478211274
69	0.4383251935	1.476505289
