iter	TotalF1	MultiClass
0	0.2652474211	1.894010059
1	0.2435824761	1.853267898
2	0.2697385987	1.813486518
3	0.2741597752	1.784035745
4	0.2810892702	1.753786518
5	0.2954651561	1.731542028
6	0.2945762704	1.711094577
7	0.3031541466	1.692148843
8	0.306386514	1.677550017
9	0.3078847704	1.664651618
10	0.3156761894	1.651258437
11	0.3187312797	1.64046484
12	0.3227910333	1.631170929
13	0.3282878284	1.620513991
14	0.3312869682	1.612544319
15	0.3329151374	1.60484581
16	0.3344217752	1.597371134
17	0.3400580721	1.591563973
18	0.3392146511	1.587216243
19	0.337308916	1.581748983
20	0.3388326704	1.577296779
21	0.3400252011	1.573063739
22	0.3406688652	1.569212827
23	0.3443137787	1.565684513
24	0.3461728988	1.562050645
25	0.3458880349	1.559710918
26	0.3496393529	1.555751231
27	0.3484275115	1.553454606
28	0.3522348338	1.549180846
29	0.3545633407	1.546872486
30	0.353299836	1.545685689
31	0.3609887403	1.54264876
32	0.3657954321	1.540101572
33	0.3667626889	1.5377822
34	0.3676064271	1.535136891
35	0.3674046798	1.533918544
36	0.3723092697	1.531944894
37	0.376277636	1.529338065
38	0.3747230101	1.527950196
39	0.3752848183	1.526348182
40	0.3783828702	1.524819159
41	0.3834258225	1.522823767
42	0.3846286588	1.521394092
43	0.3889278425	1.517982973
44	0.3927852181	1.516074322
45	0.393047642	1.514511976
46	0.3943060789	1.512252519
47	0.3956304383	1.510877379
48	0.3978993587	1.509395681
49	0.3966028005	1.507853054
50	0.4039166293	1.504592287
51	0.4042064446	1.503540708
52	0.4087184699	1.5018396
53	0.4096980608	1.500452504
54	0.409199289	1.49883444
55	0.412576469	1.49784447
56	0.4135908552	1.496863252
57	0.4149387177	1.494690047
58	0.4160710401	1.492854451
59	0.419103603	1.491480791
60	0.4210196148	1.489655227
61	0.4238837275	1.487254408
62	0.4274792473	1.484912355
63	0.430984163	1.48232919
64	0.4318893702	1.480524146
65	0.4345646526	1.478495058
66	0.433761453	1.477942732
67	0.4404164357	1.475689129
68	0.4432118992	1.473188115
69	0.4454753533	1.471746103
70	0.4502306868	1.468892662
71	0.4482576491	1.467518043
72	0.4487942983	1.466611216
73	0.4518713265	1.464958179
74	0.4532827814	1.463839418
75	0.4546776887	1.462316038
76	0.4552174684	1.460917704
77	0.4547884787	1.460101375
78	0.4616707091	1.457177406
79	0.4642866862	1.456066016
80	0.4634309945	1.45520922
81	0.4682026207	1.452961972
82	0.4682272792	1.452003681
83	0.4692779885	1.451246842
84	0.4695528313	1.449768954
85	0.4714344379	1.448872652
86	0.4704825661	1.448026419
87	0.4706923573	1.446899573
88	0.4715973289	1.445848016
89	0.4730652245	1.444537739
90	0.4758130585	1.442950752
91	0.4770853473	1.441027007
92	0.478765152	1.439410784
93	0.4799209839	1.438177396
94	0.4812828804	1.436743947
95	0.4844434293	1.434417049
96	0.4829762684	1.43311785
97	0.4839944793	1.432157169
98	0.486641759	1.430848227
99	0.4871041933	1.429541612
100	0.4903921015	1.427320675
101	0.4900119925	1.425856928
102	0.492725296	1.423398757
103	0.4945747816	1.421038597
104	0.4973748371	1.418789515
105	0.4989459411	1.417749305
106	0.5030570824	1.415290272
107	0.5037754206	1.413633934
108	0.5034995632	1.412716095
109	0.5083743221	1.410023184
110	0.5085799274	1.408540327
111	0.5120068994	1.40672432
112	0.5129863635	1.405356617
113	0.5135034347	1.40305519
114	0.514728873	1.401807677
115	0.5153541426	1.400391085
116	0.5178287972	1.399410908
117	0.5181666994	1.398101554
118	0.5186001324	1.39658568
119	0.520396398	1.395153447
120	0.51898741	1.394163161
121	0.5189052703	1.393260751
122	0.5194009213	1.391987908
123	0.5230993686	1.390346613
124	0.5240311736	1.389440543
125	0.5249952981	1.387211632
126	0.5259470229	1.385943886
127	0.5287466234	1.383384903
128	0.5293895081	1.381506561
129	0.5320009218	1.379785031
130	0.5320981151	1.378800369
131	0.5330741682	1.377523453
132	0.5334643619	1.376177847
133	0.5351902821	1.375033383
134	0.5388854886	1.371654642
135	0.538843951	1.370613936
136	0.538954815	1.369578425
137	0.5400401214	1.367510416
138	0.5426222371	1.364895305
139	0.5432250259	1.36427485
140	0.5446187162	1.361374791
141	0.5459286881	1.359567563
142	0.547193365	1.357951069
143	0.548039771	1.356078238
144	0.5504836341	1.353931626
145	0.551404904	1.353154333
146	0.5541861483	1.351193138
147	0.5544946095	1.350181709
148	0.556793771	1.348968836
149	0.557926621	1.347967795
150	0.5581114901	1.346249004
151	0.5594398618	1.345422029
152	0.5618560022	1.343658399
153	0.5615127625	1.342774586
154	0.5630597175	1.341870252
155	0.5629313541	1.341054493
156	0.5633281836	1.33989084
157	0.5654192374	1.337541341
158	0.5664865722	1.336410692
159	0.5674718239	1.335174086
160	0.5684169317	1.33282028
161	0.5683337514	1.331886503
162	0.5692192111	1.329627113
163	0.5704598771	1.32860801
164	0.5711932615	1.327793154
165	0.5719344215	1.32681015
166	0.5719030986	1.325977032
167	0.571947122	1.324976286
168	0.5733004329	1.324049859
169	0.5747310722	1.322216546
170	0.5758766286	1.321052927
171	0.5761635889	1.320086131
172	0.5760012778	1.319322517
173	0.5785070693	1.317998573
174	0.5798409748	1.316394774
175	0.5799403694	1.315529937
176	0.5816152404	1.314573177
177	0.5817593104	1.313236055
178	0.5827602135	1.311964294
179	0.5833323971	1.310957984
180	0.5843601551	1.308845076
181	0.5871453591	1.30647705
182	0.5865220593	1.304948648
183	0.5879728992	1.304198827
184	0.5894212303	1.301595412
185	0.5904591218	1.300331737
186	0.5926606743	1.298549848
187	0.5970677526	1.295375298
188	0.5971233444	1.294646039
189	0.597170285	1.292790222
190	0.5983480486	1.290637599
191	0.5983071374	1.289387681
192	0.6021442722	1.286972589
193	0.6037558782	1.28533
194	0.6053539819	1.283189999
195	0.6054808866	1.282013174
196	0.6067280922	1.279715623
197	0.6068430351	1.278610206
198	0.6100338302	1.276895754
199	0.6112548789	1.275895769
200	0.6114100923	1.275238761
201	0.6112587729	1.274117915
202	0.6126715672	1.272448145
203	0.6133630626	1.270676769
204	0.6148742195	1.269286185
205	0.6175284071	1.266964384
206	0.6175934477	1.266273675
207	0.6160968162	1.2653193
208	0.6172757789	1.264081368
209	0.6197021398	1.261978769
210	0.6197207758	1.261238723
211	0.6200040312	1.260318899
212	0.6208950501	1.259383567
213	0.6207000747	1.258446808
214	0.6216479663	1.257896535
215	0.6221255559	1.256293709
216	0.62534579	1.2538773
217	0.6273559168	1.252196574
218	0.6282165004	1.249868475
219	0.6292166829	1.248997701
220	0.629647376	1.248289631
221	0.6302809364	1.24717208
222	0.6325706603	1.2450813
223	0.6330185655	1.244056624
224	0.6332245728	1.243281055
225	0.6345040075	1.241926941
226	0.6358589618	1.240733449
227	0.6370129651	1.239043097
228	0.6378498931	1.238748346
229	0.6391379613	1.236732097
230	0.6400450051	1.235806565
231	0.6421922094	1.233495111
232	0.6420772465	1.23314711
233	0.6420659102	1.232129019
