iter	Passed	Remaining
0	39	39496
1	78	39251
2	117	39203
3	158	39404
4	198	39422
5	238	39433
6	278	39455
7	317	39400
8	357	39375
9	395	39187
10	438	39382
11	478	39412
12	518	39348
13	558	39351
14	597	39214
15	635	39060
16	673	38930
17	712	38871
18	738	38131
19	781	38293
20	825	38471
21	871	38728
22	912	38756
23	955	38868
24	999	38998
25	1009	37826
26	1050	37860
27	1074	37304
28	1114	37304
29	1154	37334
30	1162	36335
31	1203	36411
32	1243	36432
33	1283	36479
34	1324	36512
35	1363	36520
36	1403	36529
37	1446	36608
38	1474	36323
39	1514	36343
40	1553	36341
41	1594	36361
42	1634	36372
43	1674	36382
44	1713	36366
45	1754	36382
46	1795	36412
47	1835	36408
48	1874	36386
49	1914	36383
50	1955	36387
51	1995	36377
52	2035	36363
53	2075	36351
54	2113	36322
55	2152	36285
56	2189	36230
57	2228	36192
58	2269	36201
59	2307	36146
60	2346	36124
61	2387	36126
62	2427	36099
63	2466	36074
64	2505	36034
65	2548	36058
66	2563	35704
67	2603	35682
68	2642	35651
69	2681	35631
70	2721	35615
71	2762	35600
72	2802	35594
73	2841	35561
74	2879	35516
75	2918	35488
76	2959	35475
77	2998	35438
78	3036	35402
79	3075	35370
80	3099	35162
81	3138	35138
82	3177	35109
83	3217	35086
84	3256	35057
85	3295	35019
86	3333	34982
87	3372	34951
88	3410	34908
89	3451	34894
90	3489	34859
91	3528	34821
92	3567	34793
93	3606	34763
94	3646	34736
95	3685	34707
96	3724	34676
97	3762	34627
98	3800	34584
99	3840	34562
100	3882	34560
101	3922	34531
102	3962	34504
103	4002	34483
104	4043	34463
105	4082	34429
106	4123	34414
107	4163	34383
108	4203	34362
109	4244	34338
110	4283	34305
111	4323	34275
112	4360	34227
113	4398	34187
114	4437	34148
115	4477	34120
116	4517	34096
117	4557	34063
118	4595	34019
119	4633	33976
120	4672	33940
121	4710	33903
122	4749	33861
123	4787	33818
124	4826	33782
125	4866	33755
126	4904	33714
127	4942	33670
128	4980	33628
129	5020	33599
130	5058	33554
131	5097	33518
132	5135	33476
133	5174	33439
134	5213	33406
135	5255	33390
136	5295	33359
137	5336	33331
138	5376	33303
139	5420	33294
140	5461	33270
141	5501	33240
142	5541	33210
143	5581	33179
144	5621	33150
145	5662	33120
146	5700	33079
147	5739	33038
148	5776	32992
149	5817	32967
150	5860	32950
151	5900	32915
152	5939	32878
153	5978	32843
154	6018	32808
155	6056	32764
156	6095	32728
157	6134	32688
158	6172	32647
159	6212	32613
160	6253	32585
161	6291	32547
162	6331	32511
163	6368	32464
164	6407	32427
165	6447	32391
166	6485	32348
167	6523	32305
168	6561	32265
169	6602	32238
170	6642	32203
171	6682	32168
172	6722	32134
173	6761	32097
174	6801	32066
175	6841	32032
176	6880	31992
177	6919	31952
178	6956	31907
179	6995	31866
180	7033	31825
181	7072	31786
182	7109	31741
183	7148	31703
184	7190	31676
185	7233	31655
186	7277	31640
187	7319	31616
188	7361	31588
189	7406	31573
190	7448	31549
191	7493	31535
192	7538	31521
193	7582	31503
194	7629	31496
195	7675	31486
196	7723	31480
197	7768	31467
198	7812	31448
199	7856	31427
200	7901	31410
201	7945	31388
202	7991	31377
203	8040	31372
204	8084	31351
205	8129	31334
206	8174	31314
207	8219	31298
208	8265	31282
209	8311	31265
210	8355	31244
211	8401	31226
212	8446	31209
213	8490	31183
214	8532	31154
215	8576	31129
216	8621	31110
217	8669	31098
218	8716	31086
219	8763	31070
220	8828	31121
221	8913	31237
222	8977	31282
223	9029	31281
224	9083	31287
225	9152	31344
226	9214	31377
227	9280	31422
228	9337	31438
229	9435	31587
230	9550	31795
231	9695	32095
232	9784	32210
233	9858	32272
234	9922	32300
235	9991	32346
236	10060	32387
237	10157	32521
238	10232	32580
239	10312	32657
240	10386	32709
241	10468	32789
242	10553	32876
243	10614	32888
244	10695	32958
245	10778	33036
246	10844	33061
247	10909	33080
248	10981	33120
249	11058	33175
250	11124	33195
251	11185	33201
252	11263	33257
253	11340	33308
254	11401	33309
255	11458	33301
256	11510	33278
257	11556	33237
258	11600	33187
259	11645	33144
260	11687	33092
261	11728	33037
262	11770	32985
263	11810	32927
264	11850	32868
265	11890	32810
266	11930	32753
267	11971	32697
268	12013	32645
269	12052	32585
270	12092	32529
271	12131	32468
272	12172	32414
273	12212	32358
274	12253	32303
275	12292	32246
276	12331	32187
277	12371	32130
278	12411	32074
279	12449	32013
280	12488	31955
281	12527	31895
282	12566	31839
283	12605	31781
284	12645	31723
285	12685	31670
286	12724	31611
287	12765	31559
288	12806	31505
289	12846	31451
290	12885	31394
291	12925	31340
292	12965	31284
293	13005	31231
294	13043	31172
295	13082	31114
296	13120	31056
297	13161	31004
298	13200	30949
299	13238	30890
300	13291	30865
301	13333	30817
302	13379	30776
303	13422	30730
304	13466	30685
305	13510	30641
306	13553	30593
307	13594	30542
308	13634	30489
309	13674	30435
310	13713	30381
311	13752	30326
312	13793	30274
313	13837	30231
314	13878	30180
315	13918	30126
316	13959	30077
317	14000	30026
318	14040	29972
319	14079	29919
320	14118	29864
321	14157	29810
322	14195	29753
323	14234	29699
324	14274	29646
325	14313	29592
326	14354	29543
327	14392	29487
328	14431	29432
329	14470	29378
330	14509	29324
331	14550	29275
332	14588	29221
333	14626	29166
334	14665	29112
335	14707	29064
336	14746	29011
337	14787	28962
338	14825	28907
339	14865	28855
340	14905	28805
341	14943	28750
342	14982	28697
343	15021	28646
344	15062	28596
345	15099	28540
346	15144	28498
347	15185	28450
348	15225	28400
349	15266	28352
350	15306	28301
351	15346	28250
352	15385	28200
353	15426	28150
354	15464	28098
355	15503	28046
356	15543	27996
357	15581	27942
358	15620	27890
359	15659	27838
360	15698	27788
361	15738	27737
362	15776	27685
363	15817	27637
364	15856	27586
365	15895	27535
366	15934	27483
367	15973	27433
368	16013	27384
369	16056	27339
370	16095	27289
371	16135	27240
372	16175	27190
373	16214	27140
374	16254	27090
375	16293	27040
376	16332	26990
377	16371	26939
378	16412	26893
379	16453	26845
380	16498	26804
381	16539	26757
382	16581	26712
383	16622	26665
384	16663	26617
385	16703	26569
386	16742	26519
387	16782	26471
388	16822	26422
389	16862	26374
390	16900	26323
391	16939	26274
392	16978	26223
393	17021	26180
394	17064	26136
395	17108	26094
396	17152	26053
397	17194	26008
398	17240	25968
399	17284	25926
400	17328	25884
401	17372	25842
402	17418	25803
403	17464	25764
404	17508	25722
