iter	TotalF1	MultiClass
319	0.7010235436	1.135852476
320	0.7021751362	1.134901649
321	0.7024903882	1.134093425
322	0.7022280339	1.133540264
323	0.7030565035	1.132283031
324	0.7042878597	1.130517888
325	0.7055511668	1.129776134
326	0.7066027658	1.128154649
327	0.707162757	1.127695147
328	0.7070791634	1.12704246
329	0.7073561136	1.126509357
330	0.7067806633	1.126368566
331	0.7069446769	1.125816435
332	0.707239521	1.125317105
333	0.7080880314	1.124405988
334	0.7088508826	1.123202832
335	0.7102046464	1.121699118
336	0.7105447388	1.121201762
337	0.7119477466	1.120017969
338	0.7130329074	1.119520717
339	0.7133315348	1.118174003
340	0.7139434324	1.117575828
341	0.7144727603	1.116689357
342	0.7151642584	1.115724358
343	0.7156481607	1.114111472
344	0.7157805179	1.113718749
345	0.7171731199	1.111974766
346	0.7175454291	1.110713685
347	0.7177860416	1.110197602
348	0.7170439215	1.10932167
349	0.7184851125	1.107557197
350	0.7198781537	1.10589042
351	0.7205853493	1.105296018
352	0.7219501931	1.103488045
353	0.7228882173	1.101888985
354	0.7234801817	1.100554038
355	0.7236846778	1.099824564
356	0.7251132195	1.098572809
357	0.7247298136	1.098136904
358	0.7253480147	1.097383676
359	0.7266394551	1.095828756
360	0.7271334222	1.095156317
361	0.7264783498	1.093434135
362	0.7291849195	1.092506955
363	0.7286386525	1.091839477
364	0.7299957123	1.090240733
365	0.7302470589	1.089955052
366	0.7306367603	1.08845032
367	0.7307171631	1.08791657
368	0.7308885385	1.087370131
369	0.7324353759	1.086045448
370	0.732889431	1.085497358
371	0.7319972423	1.084230452
372	0.7326162427	1.083617337
373	0.7324668946	1.083420885
374	0.7341419018	1.081697946
375	0.7362709294	1.080335231
376	0.7368288055	1.07980812
377	0.7369304162	1.078044985
378	0.7374797827	1.076770705
379	0.73776895	1.07637512
380	0.737344615	1.075662948
381	0.7384632595	1.074827759
382	0.7391098488	1.073851823
383	0.7393235016	1.073046283
384	0.7408737637	1.071148045
385	0.7410083778	1.07055266
386	0.7408517158	1.070152394
387	0.7414580625	1.069601046
388	0.7408989112	1.068751349
389	0.7429070397	1.066854149
390	0.7433676195	1.066325884
391	0.7436186781	1.065694554
392	0.7444856141	1.063999655
393	0.7452790062	1.063166713
394	0.7449848133	1.062701818
395	0.7447971332	1.06214077
396	0.7446418086	1.061012219
397	0.7455233691	1.060500607
398	0.7460218024	1.059167407
399	0.7457523452	1.058508
400	0.7466909118	1.05792974
401	0.7471208956	1.057356885
402	0.7473101479	1.056294753
403	0.7478258374	1.0547876
404	0.7481626059	1.05450096
405	0.7484777272	1.053781919
406	0.7492188718	1.052265226
407	0.7497502712	1.051130316
408	0.7499223457	1.049683973
409	0.7507609411	1.048403876
410	0.7508781314	1.047736309
411	0.7515756369	1.046584484
412	0.7519759233	1.045970989
413	0.7525095832	1.045440544
414	0.7530184657	1.04447867
415	0.753187582	1.043094149
416	0.753640721	1.042660089
417	0.7533630664	1.041765373
418	0.7551586292	1.040275378
419	0.7560861288	1.039311499
420	0.7559212641	1.038049112
421	0.7560053323	1.037674376
422	0.7569501257	1.036287783
423	0.7576559634	1.035368009
424	0.7576824717	1.034420495
425	0.758887519	1.033581649
426	0.7601687299	1.032120971
427	0.7597963243	1.031715256
428	0.7600840178	1.029965045
429	0.7610754437	1.028766784
430	0.760968993	1.028245291
431	0.7615685848	1.027654863
432	0.7612022572	1.026377718
433	0.7616432941	1.02505345
434	0.7624229178	1.024370666
435	0.7624939731	1.023759621
436	0.7636273223	1.022837926
437	0.7635513026	1.022378585
438	0.7641717184	1.021700024
439	0.7633820117	1.02007674
440	0.7653578697	1.01898713
441	0.7648763417	1.018457722
442	0.7651853144	1.017853945
443	0.7651230785	1.016722291
444	0.7654441799	1.015123687
445	0.7662603841	1.01448415
446	0.7676297375	1.013055973
447	0.7681430264	1.012498771
448	0.7679970066	1.01216207
449	0.76962495	1.010483462
450	0.7698480671	1.00927101
451	0.7696651595	1.008614709
452	0.7706445863	1.007930306
453	0.7708775857	1.006286914
454	0.772042235	1.005217856
455	0.7724899403	1.004206606
456	0.7722832246	1.00296897
457	0.773140843	1.001978895
458	0.774183084	1.001546682
459	0.7744579325	1.001010428
460	0.7750639486	1.000452876
461	0.7752337382	0.9999732223
462	0.7755614383	0.9995069692
463	0.7762849297	0.9989764696
464	0.776166468	0.9983082822
465	0.7763272402	0.9974739456
466	0.7766145551	0.997100737
467	0.777487584	0.9955958076
468	0.7773036202	0.9945846736
469	0.7783022655	0.9938791018
470	0.7789398993	0.9927016313
471	0.7792873887	0.9921558351
472	0.7798289886	0.9914765416
473	0.7801016141	0.9909675975
474	0.7798161374	0.9904587866
475	0.7798170388	0.9902072971
476	0.7794367161	0.9892743878
477	0.7798176971	0.9881321638
478	0.782097757	0.9864190444
479	0.782097873	0.9861388551
480	0.7816147366	0.9845981494
481	0.78244775	0.9836625135
482	0.7829595922	0.9823723435
483	0.7832990712	0.9819350592
484	0.7840905466	0.9813263814
485	0.7841816851	0.9805885216
486	0.7834270489	0.9794620094
487	0.7836813242	0.97863906
488	0.7831380086	0.978214963
489	0.7841033416	0.9767745148
490	0.7850097598	0.975203762
491	0.7845970473	0.9741728059
492	0.7844264667	0.9736776397
493	0.7853106671	0.9719269078
494	0.7851944639	0.9715645144
495	0.7851823818	0.9714736696
496	0.7857212058	0.9709615112
497	0.7860203766	0.9703393876
498	0.7871876814	0.9694649786
499	0.7866614456	0.9678257237
500	0.7877093755	0.9670168229
501	0.7873642087	0.9658916795
502	0.7875376428	0.9655588273
503	0.7881335762	0.964869316
504	0.7884119236	0.9637135496
505	0.7890303173	0.9632044567
506	0.7902863787	0.9617668314
507	0.7902970257	0.9608025515
508	0.7899563682	0.9603097285
509	0.7901464387	0.9600059642
510	0.7912523668	0.9585896347
511	0.7912833427	0.9582274989
512	0.7918930638	0.9579513878
513	0.7918099893	0.9573402483
514	0.7918917282	0.9569418673
515	0.7927692439	0.9565602128
516	0.7932767586	0.9559140023
517	0.7938339379	0.9541875452
518	0.7938474435	0.9538268436
