iter	Passed	Remaining
0	537	1074569
1	589	588839
2	677	451229
3	1260	628778
4	1819	725842
5	2435	809288
6	3046	867503
7	3663	912266
8	4285	948131
9	4971	989377
10	5653	1022310
11	6304	1044470
12	6964	1064429
13	7668	1087843
14	8381	1109153
15	9022	1118820
16	9693	1130735
17	10277	1131649
18	10916	1138158
19	11547	1143157
20	12185	1148377
21	12793	1150222
22	13381	1150206
23	14031	1155221
24	14602	1153620
25	15182	1152683
26	15808	1155212
27	16425	1156834
28	17015	1156462
29	17641	1158469
30	18229	1157888
31	18867	1160330
32	19545	1165054
33	20307	1174240
34	20924	1174763
35	21571	1176852
36	22277	1181916
37	22962	1185566
38	23587	1186023
39	24277	1189618
40	24893	1189431
41	25590	1193023
42	26213	1193034
43	26888	1195308
44	27696	1203246
45	28512	1211176
46	29283	1216817
47	29978	1219129
48	30640	1219973
49	31295	1220532
50	31947	1220910
51	32591	1220939
52	33274	1222352
53	33957	1223712
54	34603	1223707
55	35259	1224025
56	35885	1223241
57	36514	1222604
58	37166	1222716
59	37779	1221534
60	38445	1222053
61	39109	1222500
62	39798	1223649
63	40419	1222692
64	41089	1223200
65	41723	1222637
66	42343	1221644
67	43010	1222000
68	43613	1220558
69	44256	1220221
70	44879	1219323
71	45533	1219277
72	46134	1217828
73	46777	1217470
74	47382	1216152
75	48022	1215718
76	48668	1215442
77	49295	1214689
78	49968	1215064
79	50607	1214580
80	51246	1214088
81	51987	1215992
82	52723	1217729
83	53534	1221085
84	54194	1220979
85	54874	1221275
86	55522	1220860
87	56243	1222025
88	56974	1223358
89	57986	1230600
90	58843	1234424
91	59708	1238307
92	60421	1238964
93	61126	1239430
94	61830	1239864
95	62500	1239593
96	63222	1240327
97	63875	1239706
98	64556	1239606
99	65275	1240237
100	65956	1240107
101	66661	1240433
102	67342	1240274
103	68010	1239883
104	68685	1239609
105	69325	1238702
106	70035	1239047
107	70630	1237340
108	71253	1236155
109	71925	1235802
110	72571	1235018
111	73221	1234310
112	73872	1233610
113	74538	1233147
114	75213	1232845
115	75819	1231415
116	76481	1230902
117	77151	1230502
118	77971	1232476
119	78629	1231854
120	79289	1231277
121	79964	1230933
122	80586	1229767
123	81241	1229108
124	81939	1229092
125	82642	1229146
126	83324	1228876
127	84029	1228928
128	84682	1228224
129	85340	1227595
130	86025	1227340
131	86680	1226657
132	87596	1229640
133	88295	1229552
134	88340	1220400
135	89087	1221026
136	89881	1222250
137	90510	1221242
138	91153	1220401
139	91817	1219863
140	92424	1218560
141	93085	1217972
142	93733	1217223
143	94387	1216551
144	95086	1216445
145	95697	1215225
146	96333	1214322
147	96963	1213356
148	97615	1212655
149	98247	1211713
150	98893	1210951
151	99523	1209999
152	100204	1209656
153	100799	1208280
154	101433	1207381
155	102115	1207061
156	102732	1205964
157	103375	1205176
158	103978	1203925
159	104635	1203310
160	105268	1202414
161	105891	1201414
162	106566	1200999
163	107184	1199940
164	107810	1198978
165	108450	1198180
166	109153	1198076
167	109756	1196863
168	110432	1196460
169	111050	1195429
170	111715	1194894
171	112359	1194149
172	112999	1193349
173	113662	1192799
174	114354	1192549
175	115017	1191996
176	115646	1191097
177	116332	1190774
178	116989	1190156
179	117795	1191042
180	118574	1191639
181	119373	1192425
182	120108	1192557
183	120739	1191644
184	121472	1191746
185	122193	1191711
186	122900	1191538
187	123562	1190927
188	124199	1190083
189	124872	1189579
190	125543	1189043
191	126148	1187894
192	126818	1187359
193	127454	1186506
194	128091	1185666
195	128699	1184564
196	129357	1183917
197	129974	1182896
198	130675	1182650
199	131320	1181885
200	132104	1182372
201	132779	1181870
202	133441	1181252
203	134130	1180870
204	134836	1180641
205	135534	1180338
206	136228	1179985
207	136918	1179605
208	137569	1178887
209	138260	1178504
210	138871	1177443
211	139532	1176812
212	140237	1176545
213	140925	1176136
214	141575	1175406
215	142243	1174822
216	142911	1174243
217	143525	1173222
218	144171	1172464
219	144815	1171692
220	145418	1170586
221	146082	1169977
222	146782	1169656
223	147707	1171106
224	148546	1171866
225	149409	1172798
226	150490	1175415
227	151529	1177674
228	152322	1178004
229	152972	1177222
230	153644	1176609
231	154274	1175679
232	154904	1174744
233	155613	1174418
234	156238	1173450
235	156866	1172510
236	157507	1171672
237	158210	1171290
238	158885	1170698
239	159554	1170063
240	160259	1169695
241	160926	1169048
242	161628	1168646
243	162308	1168088
244	162962	1167345
245	163595	1166446
246	164218	1165487
247	164902	1164954
248	165603	1164547
249	166247	1163733
250	166845	1162603
251	167450	1161520
252	168147	1161083
253	168795	1160303
254	169440	1159502
255	170061	1158546
256	170677	1157550
257	171331	1156817
258	171982	1156068
259	172624	1155255
260	173256	1154379
261	173872	1153396
262	174496	1152470
263	175106	1151460
264	175746	1150639
265	176441	1150185
266	177212	1150223
267	178038	1150606
268	178810	1150634
269	179652	1151104
270	180287	1150249
271	180994	1149847
272	181608	1148859
273	182249	1148040
274	182892	1147237
275	183515	1146305
276	184147	1145435
277	184776	1144551
278	185473	1144085
279	186258	1144158
280	186896	1143329
281	187556	1142631
282	188239	1142072
283	188863	1141164
284	189502	1140337
285	190173	1139713
286	190822	1138952
287	191552	1138671
288	192207	1137947
289	192832	1137044
290	193494	1136366
291	194113	1135429
292	194733	1134507
293	195363	1133642
294	196009	1132868
295	196633	1131971
296	197306	1131358
297	197972	1130701
298	198632	1130011
299	199276	1129234
