iter	Passed	Remaining
0	29	29323
1	64	32195
2	102	33967
3	140	34910
4	179	35655
5	215	35671
6	254	36116
7	292	36218
8	330	36445
9	369	36577
10	412	37070
11	452	37263
12	494	37559
13	537	37877
14	578	37959
15	616	37896
16	653	37795
17	692	37766
18	715	36950
19	753	36920
20	791	36901
21	831	36942
22	872	37070
23	912	37098
24	951	37119
25	961	36011
26	1001	36097
27	1026	35620
28	1066	35716
29	1106	35763
30	1146	35849
31	1187	35918
32	1226	35952
33	1264	35933
34	1303	35944
35	1343	35977
36	1386	36077
37	1428	36162
38	1469	36200
39	1511	36283
40	1553	36342
41	1595	36386
42	1638	36474
43	1686	36648
44	1730	36723
45	1774	36801
46	1822	36956
47	1868	37061
48	1911	37094
49	1954	37128
50	1997	37162
51	2041	37209
52	2054	36710
53	2097	36748
54	2140	36780
55	2184	36819
56	2227	36846
57	2269	36857
58	2311	36872
59	2352	36859
60	2399	36933
61	2445	36999
62	2492	37075
63	2538	37125
64	2583	37158
65	2628	37199
66	2675	37257
67	2724	37346
68	2770	37384
69	2819	37463
70	2870	37559
71	2919	37631
72	2947	37435
73	2995	37478
74	3043	37539
75	3092	37597
76	3110	37287
77	3166	37433
78	3223	37577
79	3274	37660
80	3294	37373
81	3341	37407
82	3389	37449
83	3437	37489
84	3487	37538
85	3536	37581
86	3583	37607
87	3633	37653
88	3681	37680
89	3732	37739
90	3777	37729
91	3827	37773
92	3875	37794
93	3921	37795
94	3967	37793
95	4015	37815
96	4058	37785
97	4101	37752
98	4145	37727
99	4187	37684
100	4229	37646
101	4270	37597
102	4312	37552
103	4354	37516
104	4397	37482
105	4438	37431
106	4479	37388
107	4520	37333
108	4559	37269
109	4599	37211
110	4639	37157
111	4679	37101
112	4719	37046
113	4760	36995
114	4800	36941
115	4840	36887
116	4882	36844
117	4922	36796
118	4962	36737
119	5002	36682
120	5041	36624
121	5082	36576
122	5121	36517
123	5164	36485
124	5204	36429
125	5244	36376
126	5286	36341
127	5327	36294
128	5369	36251
129	5408	36195
130	5448	36144
131	5488	36093
132	5529	36047
133	5569	35992
134	5608	35935
135	5651	35901
136	5692	35856
137	5732	35808
138	5772	35753
139	5811	35701
140	5851	35646
141	5890	35591
142	5931	35545
143	5971	35497
144	6012	35450
145	6052	35404
146	6092	35355
147	6132	35305
148	6172	35255
149	6213	35210
150	6254	35164
151	6291	35102
152	6330	35045
153	6371	34999
154	6410	34944
155	6448	34886
156	6486	34830
157	6525	34776
158	6565	34724
159	6604	34675
160	6642	34615
161	6680	34557
162	6718	34501
163	6759	34458
164	6800	34412
165	6838	34358
166	6878	34308
167	6917	34257
168	6956	34207
169	6997	34162
170	7034	34103
171	7075	34059
172	7114	34011
173	7155	33967
174	7196	33924
175	7237	33882
176	7279	33849
177	7321	33812
178	7364	33776
179	7407	33744
180	7452	33719
181	7496	33694
182	7537	33651
183	7579	33613
184	7619	33567
185	7659	33519
186	7699	33473
187	7739	33429
188	7779	33381
189	7818	33330
190	7857	33282
191	7897	33235
192	7938	33192
193	7976	33140
194	8016	33092
195	8056	33049
196	8096	33000
197	8135	32952
198	8174	32902
199	8213	32853
200	8255	32816
201	8294	32767
202	8332	32715
203	8370	32661
204	8410	32615
205	8456	32594
206	8495	32546
207	8533	32494
208	8571	32440
209	8609	32389
210	8648	32340
211	8689	32299
212	8730	32257
