iter	TotalF1	MultiClass
0	0.2108113897	1.89384439
1	0.2407032931	1.853457925
2	0.2649166533	1.813636167
3	0.2654966295	1.78413124
4	0.2666646162	1.756722338
5	0.2895314659	1.734651924
6	0.288938071	1.714149531
7	0.2958671035	1.695446759
8	0.3074062593	1.680868563
9	0.3146138905	1.668486944
10	0.3153004014	1.654566056
11	0.319538841	1.643603186
12	0.3199724018	1.634072967
13	0.3240727096	1.623859529
14	0.3252045335	1.616268334
15	0.3258682143	1.607925757
16	0.3273937748	1.601073233
17	0.3331299836	1.595132918
18	0.3324787282	1.590746118
19	0.3357002896	1.584606527
20	0.3376711297	1.579675085
21	0.3409864641	1.575728788
22	0.3422236464	1.571748155
23	0.3440193483	1.568258595
24	0.3446227704	1.564876826
25	0.3447782923	1.562160538
26	0.3493601639	1.558604566
27	0.3479934449	1.556037415
28	0.3574568592	1.551616572
29	0.3637163585	1.548882802
30	0.3698474648	1.545376693
31	0.3725253835	1.542160524
32	0.3787915544	1.539887423
33	0.3815876854	1.537269355
34	0.3851817735	1.534724308
35	0.3884297245	1.532014877
36	0.3880287458	1.530324409
37	0.3919695638	1.527115993
38	0.3942483128	1.524793843
39	0.3994567359	1.52127843
40	0.4044021019	1.51931289
41	0.4047410547	1.517943447
42	0.4017317894	1.516473007
43	0.4050109437	1.514221506
44	0.4075521844	1.51154345
45	0.4088595027	1.50934743
46	0.4117085699	1.508133864
47	0.4115734099	1.506119137
48	0.4139628343	1.504689161
49	0.4106923468	1.503397867
50	0.4102764501	1.502061953
51	0.4110164382	1.500918034
52	0.4109452701	1.500314106
53	0.410888059	1.498884559
54	0.4142332918	1.497395064
55	0.4145944426	1.496162145
56	0.4181373977	1.494625143
57	0.420677431	1.493209459
58	0.4187700398	1.49186187
59	0.420043527	1.490082857
60	0.4220768292	1.488684641
61	0.423230387	1.487646903
62	0.4257502129	1.486169327
63	0.425032103	1.484898325
64	0.4263278521	1.483827292
65	0.4263598814	1.483163236
66	0.4279900727	1.481766969
67	0.428928049	1.480567694
68	0.4304242131	1.479066926
69	0.4335328709	1.477322208
70	0.4343252042	1.476081637
71	0.4373324953	1.474731408
72	0.4361230898	1.474133135
73	0.4385391027	1.47275435
74	0.4377269466	1.470734257
75	0.4379728293	1.469757483
76	0.4382747109	1.469568372
77	0.4417414213	1.467716091
78	0.4413271805	1.466772142
79	0.4446640789	1.465463046
80	0.4442930365	1.465093631
81	0.4481573627	1.463182018
82	0.4483267641	1.462464016
83	0.448407882	1.461701483
84	0.4495965357	1.459855075
